time,count
+0000,11
+0100,17
+0200,20
+0300,6
+0400,1
+0530,26
+0700,2
+0800,13
+0900,10
+1100,1
+1200,1
-0400,9
-0500,4
-0600,5
-0700,12
-0800,6
