time,count
+0000,89
+0100,95
+0200,103
+0300,20
+0400,2
+0430,3
+0530,35
+0600,2
+0700,2
+0800,212
+0900,27
+1000,5
+1100,3
+1200,3
+1300,4
-0300,14
-0400,76
-0500,71
-0600,19
-0700,158
-0800,111
