time,count
+0000,4
+0100,25
+0200,28
+0300,5
+0400,1
+0530,11
+0700,5
+0800,40
+0900,2
+1100,1
+1200,1
-0400,17
-0500,21
-0600,9
-0700,9
-0800,8
