time,count
+0000,18
+0100,18
+0200,19
+0300,5
+0330,1
+0530,2
+0700,1
+0800,6
+0900,10
+1000,3
+1200,1
+1300,3
-0300,2
-0400,15
-0500,8
-0700,68
-0800,57
-1000,2
