time,count
+0000,14
+0100,23
+0200,19
+0300,5
+0530,9
+0700,2
+0800,26
+0900,14
+1000,3
+1100,4
+1200,1
+1300,1
-0300,4
-0400,60
-0500,51
-0600,13
-0700,89
-0800,63
