,percent,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
0,0.1,17.626682617044686,17.2474705933902,19.101410071047678,20.32426397041149,12.457408750906849,19.723642917559246,9.698239119316105
1,1.0,45.34798720891247,56.07411188271519,58.2435520731309,62.11608991307989,51.03795061666621,57.914041564231624,21.11108404978202
2,2.0,56.45421881175056,71.49346067101378,72.03566375946394,75.60654110677758,68.89375328346628,70.84812217892058,34.41632772351981
3,5.0,71.27939445844214,85.37771600848075,85.0701926216128,86.05362528979826,85.36812348335116,84.10156280878705,62.81692199030662
4,8.0,78.3407578179959,89.71095351057554,89.34517979571847,89.67077359675581,89.94070997923583,88.91686363169248,76.69451277430038
5,10.0,81.43750171276837,91.31861222017449,90.93869999844534,91.06451938062632,91.54504290396002,90.72354015319786,82.58847025012784
6,20.0,89.70301403581072,95.0089092303938,94.67080204592449,94.50720715830934,95.09268756410574,94.8036805451254,92.30619352638882
7,50.0,97.08665411348237,98.3866529120668,98.21867761142977,98.11311245338024,98.41743176644208,98.38304229939222,98.75301395552741
8,80.0,99.39796867131952,99.61703377205563,99.52878441615015,99.58555932045702,99.6442598754162,99.48183047042401,99.79054531284251
9,100,100.00000000000068,99.99999999999916,99.99999999999973,100.00000000000051,100.00000000000016,100.00000000000091,99.99999999999997
