,hour,week,all,kubernetes,tikv
0,0,1,2031.5846994535518,1.4808743169398908,0.1557377049180328
1,1,1,2197.584699453552,1.6830601092896176,0.3551912568306011
2,2,1,2403.398907103825,2.221311475409836,0.9508196721311475
3,3,1,2402.6393442622953,2.1174863387978142,1.680327868852459
4,4,1,2197.792349726776,1.0573770491803278,0.994535519125683
5,5,1,2458.6666666666665,1.2650273224043715,1.3579234972677596
6,6,1,3104.464480874317,2.057377049180328,1.7049180327868851
7,7,1,3903.1448087431695,2.0,2.0628415300546448
8,8,1,4763.7213114754095,3.030054644808743,2.087431693989071
9,9,1,5065.426229508197,3.068306010928962,1.773224043715847
10,10,1,4886.584699453552,2.8060109289617485,1.0573770491803278
11,11,1,4786.871584699454,3.07103825136612,1.2704918032786885
12,12,1,5244.248633879782,3.609289617486339,0.8032786885245902
13,13,1,5935.338797814207,6.327868852459017,0.5956284153005464
14,14,1,6511.330601092896,7.852459016393443,0.4426229508196721
15,15,1,6620.868852459016,7.997267759562842,0.3114754098360656
16,16,1,6329.57650273224,8.368852459016393,0.40710382513661203
17,17,1,5926.6994535519125,8.387978142076502,0.3825136612021858
18,18,1,5704.158469945355,7.841530054644808,0.04644808743169399
19,19,1,5499.6557377049185,7.658469945355192,0.06830601092896176
20,20,1,5246.415300546448,7.03551912568306,0.05191256830601093
21,21,1,4968.11475409836,6.898907103825136,0.22950819672131148
22,22,1,4211.153005464481,5.9863387978142075,0.18579234972677597
23,23,1,3578.9180327868853,5.745901639344262,0.10109289617486339
24,0,2,3168.7978142076504,4.601092896174864,0.25956284153005466
25,1,2,3033.743169398907,5.2349726775956285,0.4972677595628415
26,2,2,2986.9535519125684,4.2896174863387975,0.8169398907103825
27,3,2,2809.502732240437,3.6666666666666665,1.349726775956284
28,4,2,2518.948087431694,2.226775956284153,1.0546448087431695
29,5,2,2704.8196721311474,2.751366120218579,1.7377049180327868
30,6,2,3380.289617486339,3.540983606557377,2.1147540983606556
31,7,2,4281.355191256831,3.710382513661202,2.5
32,8,2,5020.237704918033,3.6038251366120218,1.8688524590163935
33,9,2,5383.464480874317,3.702185792349727,1.650273224043716
34,10,2,5167.74043715847,3.4098360655737703,1.03551912568306
35,11,2,5016.243169398907,3.942622950819672,1.3333333333333333
36,12,2,5431.2786885245905,4.434426229508197,1.046448087431694
37,13,2,6166.2213114754095,6.0136612021857925,0.6557377049180327
38,14,2,6741.180327868852,7.915300546448087,0.5983606557377049
39,15,2,6794.983606557377,8.131147540983607,0.30327868852459017
40,16,2,6541.972677595629,9.325136612021858,0.4098360655737705
41,17,2,6135.027322404371,9.112021857923498,0.1830601092896175
42,18,2,5896.336065573771,9.718579234972678,0.23497267759562843
43,19,2,5673.991803278688,9.26775956284153,0.24043715846994534
44,20,2,5509.6994535519125,10.112021857923498,0.1284153005464481
45,21,2,5121.459016393443,9.349726775956285,0.34153005464480873
46,22,2,4352.953551912568,6.7923497267759565,0.11202185792349727
47,23,2,3732.964480874317,5.950819672131147,0.21584699453551912
48,0,3,3313.9207650273224,4.647540983606557,0.2923497267759563
49,1,3,3138.5081967213114,5.816939890710382,0.24863387978142076
50,2,3,3049.658469945355,4.491803278688525,0.8879781420765027
51,3,3,2851.8333333333335,4.26775956284153,1.9918032786885247
52,4,3,2584.568306010929,3.0327868852459017,1.330601092896175
53,5,3,2737.9398907103823,2.9234972677595628,1.3879781420765027
54,6,3,3421.8224043715845,3.6065573770491803,2.5136612021857925
55,7,3,4274.428961748634,4.622950819672131,1.9316939890710383
56,8,3,5057.650273224043,3.530054644808743,1.9617486338797814
57,9,3,5456.245901639344,3.7568306010928962,1.819672131147541
58,10,3,5193.950819672131,3.060109289617486,1.0573770491803278
59,11,3,5084.172131147541,3.366120218579235,1.0846994535519126
60,12,3,5422.811475409836,4.724043715846994,0.9043715846994536
61,13,3,6105.868852459016,6.48087431693989,0.7540983606557377
62,14,3,6665.710382513661,7.83879781420765,0.6338797814207651
63,15,3,6656.628415300546,7.66120218579235,0.4016393442622951
64,16,3,6400.491803278688,8.210382513661202,0.3743169398907104
65,17,3,5986.94262295082,7.885245901639344,0.3442622950819672
66,18,3,5782.598360655737,9.032786885245901,0.19398907103825136
67,19,3,5549.229508196721,8.459016393442623,0.18032786885245902
68,20,3,5371.767759562841,8.806010928961749,0.12568306010928962
69,21,3,4956.081967213115,8.084699453551913,0.12295081967213115
70,22,3,4278.713114754099,6.076502732240437,0.24863387978142076
71,23,3,3667.4180327868853,5.008196721311475,0.19672131147540983
72,0,4,3229.1721311475408,4.866120218579235,0.29508196721311475
73,1,4,3083.46174863388,5.14207650273224,0.4890710382513661
74,2,4,3052.4836065573772,4.8497267759562845,1.0874316939890711
75,3,4,2889.568306010929,3.1038251366120218,1.6092896174863387
76,4,4,2640.751366120219,2.7349726775956285,1.598360655737705
77,5,4,2782.5054644808743,2.8333333333333335,1.494535519125683
78,6,4,3481.9754098360654,3.0437158469945356,2.1748633879781423
79,7,4,4320.491803278688,4.0683060109289615,2.158469945355191
80,8,4,5071.3879781420765,3.8551912568306013,1.814207650273224
81,9,4,5493.226775956284,3.66120218579235,2.1475409836065573
82,10,4,5256.478142076503,3.6939890710382515,1.4262295081967213
83,11,4,5103.953551912568,4.147540983606557,1.3852459016393444
84,12,4,5523.718579234973,4.2349726775956285,1.098360655737705
85,13,4,6149.338797814207,6.9863387978142075,0.8278688524590164
86,14,4,6596.710382513661,7.166666666666667,0.5601092896174863
87,15,4,6560.084699453552,8.226775956284152,0.505464480874317
88,16,4,6336.008196721312,8.065573770491802,0.2923497267759563
89,17,4,5969.207650273224,8.278688524590164,0.1830601092896175
90,18,4,5696.836065573771,8.576502732240437,0.16666666666666666
91,19,4,5490.008196721312,8.636612021857923,0.13934426229508196
92,20,4,5166.439890710382,8.620218579234972,0.10655737704918032
93,21,4,4869.94262295082,8.5,0.09289617486338798
94,22,4,4123.663934426229,6.297814207650274,0.12568306010928962
95,23,4,3536.4945355191257,4.945355191256831,0.19672131147540983
96,0,5,3091.24043715847,5.396174863387978,0.1830601092896175
97,1,5,2882.6994535519125,4.314207650273224,0.453551912568306
98,2,5,2837.22131147541,4.80327868852459,1.0601092896174864
99,3,5,2662.22131147541,3.814207650273224,1.453551912568306
100,4,5,2400.1147540983607,2.860655737704918,0.8989071038251366
101,5,5,2543.1147540983607,2.92896174863388,1.4207650273224044
102,6,5,3116.6120218579235,3.0737704918032787,1.9808743169398908
103,7,5,3857.6475409836066,3.442622950819672,2.040983606557377
104,8,5,4559.765027322404,3.521857923497268,2.087431693989071
105,9,5,4813.207650273224,4.19672131147541,1.8688524590163935
106,10,5,4581.054644808743,3.060109289617486,1.2295081967213115
107,11,5,4383.53825136612,2.9371584699453552,0.9207650273224044
108,12,5,4709.838797814207,3.3224043715846996,0.8579234972677595
109,13,5,5306.592896174863,4.9316939890710385,0.773224043715847
110,14,5,5783.144808743169,5.090163934426229,0.5273224043715847
111,15,5,5846.1120218579235,7.065573770491803,0.48360655737704916
112,16,5,5516.620218579235,6.398907103825136,0.29508196721311475
113,17,5,5043.904371584699,5.827868852459017,0.11475409836065574
114,18,5,4833.428961748634,6.885245901639344,0.14207650273224043
115,19,5,4550.912568306011,6.505464480874317,0.19672131147540983
116,20,5,4343.215846994535,5.308743169398907,0.06830601092896176
117,21,5,3962.4508196721313,5.0109289617486334,0.16939890710382513
118,22,5,3382.1311475409834,4.773224043715847,0.07923497267759563
119,23,5,2783.120218579235,3.9508196721311477,0.12568306010928962
120,0,6,2322.3196721311474,3.9754098360655736,0.25136612021857924
121,1,6,1941.4371584699454,3.3114754098360657,0.20491803278688525
122,2,6,1778.1803278688524,2.5163934426229506,0.22404371584699453
123,3,6,1680.5245901639344,2.0081967213114753,0.2650273224043716
124,4,6,1548.4207650273224,1.1912568306010929,0.23770491803278687
125,5,6,1536.5054644808743,1.3224043715846994,0.3114754098360656
126,6,6,1656.3934426229507,1.278688524590164,0.25136612021857924
127,7,6,1812.4289617486338,1.1311475409836065,0.26229508196721313
128,8,6,1986.4535519125684,1.0601092896174864,0.2978142076502732
129,9,6,2165.603825136612,1.210382513661202,0.3743169398907104
130,10,6,2251.188524590164,1.0819672131147542,0.9371584699453552
131,11,6,2364.1448087431695,1.0191256830601092,0.8907103825136612
132,12,6,2495.3934426229507,1.1366120218579234,0.14207650273224043
133,13,6,2609.1693989071036,1.3415300546448088,0.2459016393442623
